Service Name,Domain,API URL,Function Calls
ChatGPT,api.openai.com/ chatgpt.com/ openai\.[a-zA-Z]+\.[a-zA-Z_]+ client\.[a-zA-Z_]+\.[a-zA-Z_]+,https://api.openai.com/v1/chat/completions https://api.openai.com/v1/models https://api.openai.com/v1/fine-tunes https://api.openai.com/v1/files https://api.openai.com/v1/audio/ https://api.openai.com/v1/moderations https://api.openai.com/v1/responses https://api.openai.com/v1/embeddings https://api.openai.com/v1/images/generations,openai.ChatCompletion.create openai.Image.create openai.Audio.transcribe client.responses.create
Runway,api.runwayml.com/ runwayml\.[a-zA-Z]+\.[a-zA-Z_]+,https://api.runwayml.com/v1/models https://api.runwayml.com/v1/generate https://api.runwayml.com/v1/outputs https://api.runwayml.com/v1/inputs https://api.runwayml.com/v1/versions https://api.runwayml.com/v1/experiments https://api.runwayml.com/v1/experiments/{id} https://api.runwayml.com/v1/experiments/{id}/run https://api.runwayml.com/v1/experiments/{id}/stop https://api.runwayml.com/v1/experiments/{id}/logs,runway.models.list runway.generate runway.outputs.get runway.inputs.create runway.experiments.run runway.experiments.stop runway.experiments.getLogs
Weather.com,api.weather.com/ weather\.[a-zA-Z]+\.[a-zA-Z_]+,https://api.weather.com/v3/wx/conditions/current https://api.weather.com/v3/wx/forecast/daily/5day https://api.weather.com/v3/wx/forecast/hourly/48hour https://api.weather.com/v3/wx/alerts/current https://api.weather.com/v3/wx/alerts/headlines https://api.weather.com/v3/wx/locations/v1/cities/search https://api.weather.com/v3/wx/locations/v1/city https://api.weather.com/v3/wx/locations/v1/geocode https://api.weather.com/v3/wx/forecast/extended https://api.weather.com/v3/wx/observations/current,weather.current_conditions.get weather.forecast.daily.get weather.forecast.hourly.get weather.alerts.current.get weather.alerts.headlines.get weather.locations.search weather.locations.city.get weather.locations.geocode.get
